number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mae_std,state
12,0.5571888239794209,2026-06-12 14:33:42.221709,2026-06-12 14:33:44.878411,0 days 00:00:02.656702,0.9993442603050197,0.04478807683949497,7,48,29,0.0810532984258612,0.7215197956424384,0.7568755291165434,0.10330920202497917,COMPLETE
13,0.5864518736205694,2026-06-12 14:33:44.878465,2026-06-12 14:33:48.926236,0 days 00:00:04.047771,0.8667345638929131,0.05049708384913895,12,33,31,0.12185426398141617,0.7908714231301055,0.9869995068177776,0.13272594374843136,COMPLETE
14,0.5430946008333282,2026-06-12 14:33:48.926290,2026-06-12 14:33:51.391720,0 days 00:00:02.465430,0.8855793744755237,0.028692343793043352,9,63,41,0.07054382978969141,0.6470850681345222,0.5065701578589044,0.11087330537129532,COMPLETE
15,0.5423052695617729,2026-06-12 14:33:51.391775,2026-06-12 14:33:52.868120,0 days 00:00:01.476345,0.8690704859291795,0.06758961266204266,6,102,16,0.3188086037698636,7.5349332296701474,0.8763107521202366,0.10606243324436672,COMPLETE
16,0.5411899891545223,2026-06-12 14:33:52.868195,2026-06-12 14:33:54.086538,0 days 00:00:01.218343,0.750399350085553,0.08294022237565503,6,114,15,1.093389990276092,1.7750082061441226,0.8636270296299472,0.10557295964888593,COMPLETE
17,0.549265224778801,2026-06-12 14:33:54.086594,2026-06-12 14:33:55.111204,0 days 00:00:01.024610,0.6313282892574426,0.09706654035504564,5,132,41,3.9889569300782566,0.2503590977010445,0.7075297843400918,0.1275717360735155,COMPLETE
18,0.5531934854449637,2026-06-12 14:33:55.111271,2026-06-12 14:33:56.931423,0 days 00:00:01.820152,0.7575967310909005,0.05449938357656061,8,57,20,0.9499760183589014,1.8025907612341738,0.5778445685092591,0.10251285756065547,COMPLETE
19,0.5947993038650192,2026-06-12 14:33:56.931486,2026-06-12 14:33:59.073178,0 days 00:00:02.141692,0.5462808665703109,0.06970063800742962,6,29,42,1.8837677274494027,0.24380195459093584,0.8329358804225521,0.12568874774640107,COMPLETE
20,0.6479906631508513,2026-06-12 14:33:59.073238,2026-06-12 14:34:02.015364,0 days 00:00:02.942126,0.7418022016815631,0.032953069581989056,5,11,21,9.098296910107978,1.7736344094493173,0.7441238236636211,0.20623773515285185,COMPLETE
21,0.5455555383223142,2026-06-12 14:34:02.015421,2026-06-12 14:34:03.515112,0 days 00:00:01.499691,0.8296734869814393,0.06909625383276675,6,97,15,0.4479717901387348,9.141397057020367,0.873639348003603,0.10315239211316483,COMPLETE
22,0.54824584031621,2026-06-12 14:34:03.515169,2026-06-12 14:34:05.195771,0 days 00:00:01.680602,0.8198704124880117,0.040477592401296995,6,112,18,0.15885918243802255,1.808177018122684,0.8659584713914403,0.11414575362589148,COMPLETE
