number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mae_std,state
48,0.4370517858391915,2026-06-12 14:18:52.218832,2026-06-12 14:18:54.648750,0 days 00:00:02.429918,0.7965560244828415,0.02128235174926001,12,39,174,0.28440982111282165,0.005974182109296492,0.5567143550480808,0.04287608191771325,COMPLETE
49,0.436266998070624,2026-06-12 14:18:54.648810,2026-06-12 14:18:57.216106,0 days 00:00:02.567296,0.7312780348732465,0.026455036984676484,12,31,98,6.1777353495422656,0.01684767518132323,0.8672524378314308,0.04313973398222725,COMPLETE
50,0.4356815702950295,2026-06-12 14:18:57.216197,2026-06-12 14:19:00.186770,0 days 00:00:02.970573,0.7220032950330526,0.0318588817472791,11,31,247,5.664031983731738,0.05295631984259506,0.9533364409993191,0.04370051608183534,COMPLETE
51,0.43596601300381527,2026-06-12 14:19:00.186832,2026-06-12 14:19:02.180291,0 days 00:00:01.993459,0.7288689923713245,0.03689844537125478,11,31,97,9.88026548522455,0.010564235857263784,0.960548933681177,0.04259546876836812,COMPLETE
52,0.4357721852264446,2026-06-12 14:19:02.180340,2026-06-12 14:19:04.818419,0 days 00:00:02.638079,0.6474704254877984,0.036901121327352134,11,29,252,9.834420409939417,0.00948924123951049,0.9576906276266042,0.04406858002059209,COMPLETE
53,0.43635812545933944,2026-06-12 14:19:04.818467,2026-06-12 14:19:07.072316,0 days 00:00:02.253849,0.563206431649282,0.04782116191782119,10,31,255,6.906473458449581,0.01100496494039341,0.9610776758021448,0.04319018809418553,COMPLETE
54,0.4366762301439813,2026-06-12 14:19:07.072367,2026-06-12 14:19:09.394459,0 days 00:00:02.322092,0.6640099427075051,0.03229729752174209,11,19,190,9.390595134253953,0.008773660744473333,0.926546931093055,0.04304366398793074,COMPLETE
55,0.43769237793720317,2026-06-12 14:19:09.394508,2026-06-12 14:19:12.450924,0 days 00:00:03.056416,0.6279337658523263,0.03986391119805638,10,27,217,2.5983346518929338,0.053497073607338866,0.9930743151867363,0.041770164882384074,COMPLETE
56,0.43691811373091516,2026-06-12 14:19:12.450975,2026-06-12 14:19:14.512597,0 days 00:00:02.061622,0.5193505616726839,0.05692929508704202,11,35,125,5.4777054211217875,0.003829663009066483,0.9585724368986975,0.043732308045067524,COMPLETE
57,0.43615678653782614,2026-06-12 14:19:14.512647,2026-06-12 14:19:17.076590,0 days 00:00:02.563943,0.6404532586139811,0.03785748719708157,11,31,244,9.183793867791447,0.008043475884406013,0.9016726572342815,0.04326609011975449,COMPLETE
