number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mae_std,state
0,0.6534080660816131,2026-06-12 14:35:27.933591,2026-06-12 14:36:04.708952,0 days 00:00:36.775361,0.40921304830970556,0.015355286838886862,10,17.524101118128137,0.004207053950287938,0.0017073967431528124,0.7993292420985183,0.16045222499924905,COMPLETE
1,0.6057511625350193,2026-06-12 14:36:04.709012,2026-06-12 14:36:18.122603,0 days 00:00:13.413591,0.978936896513396,0.06697167353375243,7,15.958573588141263,2.1368329072358767,0.0070689749506246055,0.5102922471479012,0.13332351533131687,COMPLETE
2,0.6783339353659255,2026-06-12 14:36:18.122661,2026-06-12 14:36:33.686328,0 days 00:00:15.563667,0.602361513049481,0.008620446097910767,4,3.2877474139911183,0.014618962793704957,0.2801635158716261,0.762378215816119,0.21996558553641074,COMPLETE
3,0.6925689093385314,2026-06-12 14:36:33.686398,2026-06-12 14:37:00.377258,0 days 00:00:26.690860,0.8496231729751094,0.007593739613361234,5,4.192159350410974,0.006290644294586149,0.11400863701127326,0.728034992108518,0.22553497167759595,COMPLETE
4,0.614746731902825,2026-06-12 14:37:00.377312,2026-06-12 14:37:08.946868,0 days 00:00:08.569556,0.3455361150896956,0.029493012052163467,3,10.769622478263129,6.245139574743075,7.2866537374910445,0.5852620618436457,0.16628051969312366,COMPLETE
5,0.7139402597042328,2026-06-12 14:37:08.947072,2026-06-12 14:37:17.119038,0 days 00:00:08.171966,0.6081067456177209,0.05632733481673016,5,1.4653521030672134,0.003077180271250686,0.09565499215943825,0.8421165132560784,0.22497599738903468,COMPLETE
6,0.7766361315744109,2026-06-12 14:37:17.119109,2026-06-12 14:40:56.937431,0 days 00:03:39.818322,0.5181977532625877,0.005542561258655853,10,2.752069685079053,0.12030178871154672,0.1537592023548176,0.831261142176991,0.24520479882231902,COMPLETE
7,0.6417652861696569,2026-06-12 14:40:56.937502,2026-06-12 14:42:00.288007,0 days 00:01:03.350505,0.9263791452993542,0.008699037355645861,10,20.74566765675251,0.24637685958997463,4.869640941520899,0.9697494707820946,0.17852752264392655,COMPLETE
8,0.6630349752876388,2026-06-12 14:42:00.288069,2026-06-12 14:42:24.803915,0 days 00:00:24.515846,0.5720741027826374,0.006517805612564439,4,1.1935477742481382,0.01217295809836997,2.0651425578959257,0.6626651653816322,0.20935266149769471,COMPLETE
9,0.6449262169374249,2026-06-12 14:42:24.803970,2026-06-12 14:42:42.894743,0 days 00:00:18.090773,0.8615378865278278,0.014558505116213708,5,8.356499023325524,0.0019870215385428634,8.862326508576253,0.5704621124873813,0.19748700962731103,COMPLETE
10,0.5510980054354343,2026-06-12 14:42:42.894796,2026-06-12 14:42:50.765794,0 days 00:00:07.870998,0.74049099957092,0.09131267625429393,8,44.38277669999273,4.2722748162267905,0.001154460820484616,0.5089809378074099,0.0979475334929513,COMPLETE
11,0.5402379325071375,2026-06-12 14:42:50.765861,2026-06-12 14:42:57.935064,0 days 00:00:07.169203,0.753433151294781,0.0943657273822236,8,49.50669358661749,7.348768942543027,0.001301403184002157,0.5043736834843053,0.09861566922400468,COMPLETE
12,0.5380916754499145,2026-06-12 14:42:57.935116,2026-06-12 14:43:05.348505,0 days 00:00:07.413389,0.7603830341556086,0.09896529716638411,8,49.07220423101796,7.599278961258226,0.0015146242343189874,0.5021093106319138,0.09344304986380335,COMPLETE
13,0.5422845683832821,2026-06-12 14:43:05.348562,2026-06-12 14:43:13.017430,0 days 00:00:07.668868,0.6948476692746439,0.09979375067275385,8,42.36541994428454,1.0236914394956902,0.008101324842116031,0.6118913802973781,0.09164565111231551,COMPLETE
14,0.5606082368011757,2026-06-12 14:43:13.017487,2026-06-12 14:43:24.554060,0 days 00:00:11.536573,0.7558217124132557,0.04264978567731421,7,30.268954537490497,9.813077026480332,0.00555553126151374,0.501200795476255,0.11295615677220122,COMPLETE
15,0.570075201490551,2026-06-12 14:43:24.554126,2026-06-12 14:43:37.124241,0 days 00:00:12.570115,0.8166688394883629,0.038979122827201916,8,30.483382026301125,0.5126851646722063,0.020786060309880464,0.6544670744784483,0.11380990661923203,COMPLETE
16,0.5892193812480031,2026-06-12 14:43:37.124307,2026-06-12 14:43:47.952340,0 days 00:00:10.828033,0.7056962346262452,0.0710548275317754,9,27.312473676390667,1.99512134519445,0.0022635122947080896,0.5587404371074101,0.12471937211086928,COMPLETE
17,0.5496241341086284,2026-06-12 14:43:47.952392,2026-06-12 14:43:58.309557,0 days 00:00:10.357165,0.6670541426063346,0.04984820455586314,7,46.63564708490202,3.027027608871118,0.015237923330008868,0.6459202953926388,0.10685195066311408,COMPLETE
18,0.6346507189116385,2026-06-12 14:43:58.309606,2026-06-12 14:44:14.917957,0 days 00:00:16.608351,0.8053618363924919,0.02427290188124163,6,11.727637309464823,0.808833270422206,0.0026010030880334674,0.5462579208792226,0.157941173550092,COMPLETE
19,0.5807760847076298,2026-06-12 14:44:14.918013,2026-06-12 14:44:27.149898,0 days 00:00:12.231885,0.9170103099256184,0.0752468773509729,9,25.861942632689615,0.0555135926491153,0.019114323899990224,0.6950297914206555,0.11295355586343439,COMPLETE
20,0.5725475095419899,2026-06-12 14:44:27.149953,2026-06-12 14:44:34.805959,0 days 00:00:07.656006,0.4663878913627683,0.09988938492589662,9,49.82841206126936,7.779699982003058,0.0010661620300117314,0.5990468438594949,0.11677227853636653,COMPLETE
21,0.5633479343661538,2026-06-12 14:44:34.806014,2026-06-12 14:44:43.017051,0 days 00:00:08.211037,0.6782471962002177,0.09759871906806444,8,34.69706870734584,0.991074121647052,0.006148365218203241,0.6141831052110288,0.09675208812531964,COMPLETE
22,0.560973653856127,2026-06-12 14:44:43.017111,2026-06-12 14:44:51.363241,0 days 00:00:08.346130,0.749935818140138,0.07188182073715509,8,37.29372818654111,1.141490136409621,0.0041289685138285355,0.5436780910599468,0.10447666632097267,COMPLETE
23,0.5944446604536446,2026-06-12 14:44:51.363301,2026-06-12 14:45:01.373353,0 days 00:00:10.010052,0.6470222183456434,0.05760836851637476,7,21.841751690931382,0.23772794998576052,0.039260102582317505,0.6289274794386794,0.11533920036334441,COMPLETE
24,0.5423491359550343,2026-06-12 14:45:01.373405,2026-06-12 14:45:09.685825,0 days 00:00:08.312420,0.7796631143803238,0.08193198905547285,9,47.45708738305668,3.5356860043734755,0.011639010490358329,0.5412619803487864,0.10543186745115311,COMPLETE
25,0.6196643969854956,2026-06-12 14:45:09.685897,2026-06-12 14:45:22.198748,0 days 00:00:12.512851,0.5337072525314241,0.04448554848050772,6,14.579942093736825,9.966127357275619,0.003077478693320089,0.5942572915365154,0.15880510136412362,COMPLETE
26,0.5573824104349077,2026-06-12 14:45:22.198801,2026-06-12 14:45:37.940184,0 days 00:00:15.741383,0.726098168345282,0.06166488045381153,8,34.639676899328336,1.3804288921285832,0.008829326318743065,0.6916962327772651,0.11342613107454615,COMPLETE
27,0.5716835994508193,2026-06-12 14:45:37.940257,2026-06-12 14:45:49.344462,0 days 00:00:11.404205,0.8591081505087177,0.09932204732156695,6,22.856857778484674,0.5711466251408963,0.04250401070327353,0.5286224761429424,0.1112145283955006,COMPLETE
