number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mae_std,state
16,0.4380369703799395,2026-06-12 14:23:39.172377,2026-06-12 14:23:47.551048,0 days 00:00:08.378671,0.9988959877957934,0.030170454140296527,7,15.301123716441968,0.24958601468497651,0.03132642408656101,0.6384146932004084,0.04052137660229557,COMPLETE
17,0.43601013033056457,2026-06-12 14:23:47.551105,2026-06-12 14:23:55.181890,0 days 00:00:07.630785,0.8746781267345505,0.0340553900090262,9,29.247424985020302,1.030272916685292,0.027416891723395332,0.5707921208261757,0.04320294109098406,COMPLETE
18,0.4392288718931711,2026-06-12 14:23:55.181949,2026-06-12 14:24:11.267538,0 days 00:00:16.085589,0.8505528679825107,0.019816006226011432,9,6.483531118353444,0.08363938008226596,0.46359907122990196,0.6965757402667888,0.04141431904410713,COMPLETE
19,0.4357605047549372,2026-06-12 14:24:11.267603,2026-06-12 14:24:17.481904,0 days 00:00:06.214301,0.9028452471479332,0.04328209858315591,6,28.632167015765365,1.9153672229419496,0.03482571918359621,0.602211890999746,0.04351227131584161,COMPLETE
20,0.4369118520251596,2026-06-12 14:24:17.481959,2026-06-12 14:24:24.783745,0 days 00:00:07.301786,0.9212461955139286,0.06909535441917881,6,14.995610715221678,1.794809749900485,0.004174031266850418,0.6195826939533324,0.043180763729992896,COMPLETE
21,0.43614619241524333,2026-06-12 14:24:24.783800,2026-06-12 14:24:30.467494,0 days 00:00:05.683694,0.9054590777339296,0.039111147874891845,6,28.02860618237002,0.5054077897898046,0.0401665888311854,0.5586859860660179,0.04336639173557781,COMPLETE
22,0.43675655498960897,2026-06-12 14:24:30.467551,2026-06-12 14:24:37.842776,0 days 00:00:07.375225,0.8043921023761917,0.04288082951875058,9,31.769916459587975,2.893762536700273,0.02008182353875389,0.5422913385442649,0.04397709714665851,COMPLETE
23,0.4371908509725346,2026-06-12 14:24:37.842829,2026-06-12 14:24:44.598339,0 days 00:00:06.755510,0.9324562313235663,0.02358663345305834,6,21.340486968205568,0.4217986690524153,0.05705472525049422,0.6009562940491122,0.04252698488380162,COMPLETE
24,0.4381329980709719,2026-06-12 14:24:44.598411,2026-06-12 14:24:57.983179,0 days 00:00:13.384768,0.7996214866408824,0.047919390964464306,9,12.336343801264434,2.4539580141165453,0.016290915023846865,0.6461014980097761,0.04177121858344592,COMPLETE
25,0.44190036716321346,2026-06-12 14:24:57.983231,2026-06-12 14:25:06.237399,0 days 00:00:08.254168,0.6752328584908359,0.06732863547103927,7,6.283495538108387,0.055203501664116195,0.0025362665753114457,0.5469743616160561,0.04287341948420257,COMPLETE
26,0.43749489481260495,2026-06-12 14:25:06.237451,2026-06-12 14:25:12.121398,0 days 00:00:05.883947,0.8866301440590824,0.07540922333234777,6,36.036731581708935,0.8146108958096034,0.9735323727668419,0.9987349142404867,0.042001738686395666,COMPLETE
27,0.43668336470235614,2026-06-12 14:25:12.121465,2026-06-12 14:25:21.770969,0 days 00:00:09.649504,0.8081131262030662,0.027889814139273363,9,23.090241217301582,1.4602782198496052,0.0038212810235734693,0.6981582031556057,0.043382751561176464,COMPLETE
28,0.4355896288328992,2026-06-12 14:25:21.771021,2026-06-12 14:25:28.945312,0 days 00:00:07.174291,0.9475416029274422,0.019969249482584925,7,36.00736708880544,3.160132603186253,0.06347165879081819,0.5804711806778007,0.04210660176082622,COMPLETE
29,0.43622046586908664,2026-06-12 14:25:28.945366,2026-06-12 14:25:40.589835,0 days 00:00:11.644469,0.9550688862130723,0.012359700498308718,7,13.884119264319898,3.537362005314262,0.05767344855922659,0.6201602098440852,0.041795529593840315,COMPLETE
30,0.4378236934872687,2026-06-12 14:25:40.589894,2026-06-12 14:25:47.467291,0 days 00:00:06.877397,0.9538786293932877,0.020936186328751282,6,18.999366079530297,0.001002417059933003,0.012198238838468222,0.9220227524181638,0.04174795270932282,COMPLETE
31,0.43664183240303345,2026-06-12 14:25:47.467346,2026-06-12 14:25:54.447203,0 days 00:00:06.979857,0.8639018360653727,0.035346925809572036,8,37.86311969074227,3.7886222070524718,0.23062482486249122,0.5835307261913176,0.04317594495045202,COMPLETE
32,0.4361878833569146,2026-06-12 14:25:54.447265,2026-06-12 14:25:59.742652,0 days 00:00:05.295387,0.8915991333969158,0.017269541806875434,5,25.997531974864327,1.2039882394312251,0.06272970468465786,0.5295716509674251,0.04309132994512781,COMPLETE
33,0.43711443265889266,2026-06-12 14:25:59.742713,2026-06-12 14:26:03.811923,0 days 00:00:04.069210,0.9543815269686143,0.024894676182987005,4,17.658688072800658,0.5136936959972433,0.029462884442182622,0.5676913639924035,0.04175193905519144,COMPLETE
34,0.43626278356945825,2026-06-12 14:26:03.811983,2026-06-12 14:26:12.153465,0 days 00:00:08.341482,0.8147623006714872,0.012611948006353832,7,36.74040622820456,5.429384436047877,0.3853730288033222,0.6940071263598886,0.04288703125710193,COMPLETE
35,0.4381341127219033,2026-06-12 14:26:12.153517,2026-06-12 14:26:15.314243,0 days 00:00:03.160726,0.8807548992655033,0.04333358477769162,3,23.722462979234347,2.0168566802277765,0.10104478717765711,0.7357558357182638,0.04339874371044066,COMPLETE
