,0
Ore Pulp Flow__mean__diff1h,0.0
Flotation Column 04 Air Flow__mean__diff1h,0.0
Flotation Column 04 Level__mean__lag2h,0.0
Flotation Column 05 Air Flow__mean__lag2h,0.0
Flotation Column 01 Air Flow__mean__lag2h,0.0
Flotation Column 06 Air Flow__mean__lag2h,0.0
Flotation Column 03 Air Flow__mean__lag1h,0.0
Flotation Column 07 Level__mean__diff1h,0.0
% Iron Feed__diff1h,0.0
Flotation Column 02 Level__mean,0.0
Flotation Column 01 Level__max,0.0
Flotation Column 01 Level__min,0.0
Ore Pulp pH__mean__slope3h,0.0
Ore Pulp pH__mean__lag1h,0.0
Flotation Column 05 Air Flow__mean__diff1h,0.0
Flotation Column 04 Level__mean__diff1h,0.0
Flotation Column 01 Level__mean__diff1h,0.0
Amina Flow__mean__slope3h,0.0
% Silica Feed__diff1h,0.0
Flotation Column 07 Level__max,0.0
Starch Flow__mean__lag1h,0.0
Flotation Column 07 Level__mean,0.0
Flotation Column 06 Level__max,0.0
% Silica Feed__lag1h,0.0
Starch Flow__mean__lag2h,0.0
% Iron Feed__lag1h,0.0
Flotation Column 07 Level__mean__lag1h,0.0
Flotation Column 05 Level__mean__lag1h,0.0
Flotation Column 01 Level__mean__lag1h,0.0
Flotation Column 07 Air Flow__mean,0.0
Flotation Column 07 Air Flow__min,0.0
Flotation Column 07 Air Flow__max,0.0
Flotation Column 01 Level__std,0.0
Ore Pulp Density__max,0.0
Ore Pulp Density__mean__slope3h,0.0
Flotation Column 07 Air Flow__mean__slope3h,0.0
Flotation Column 04 Air Flow__mean__slope3h,0.0
% Iron Feed,0.0
Flotation Column 04 Air Flow__mean__roll3h_mean,0.0
% Silica Feed__roll3h_mean,0.0
Amina Flow__mean__roll6h_mean,0.0
Flotation Column 01 Level__mean__lag3h,0.0
Flotation Column 03 Level__mean__lag3h,0.0
Flotation Column 04 Level__mean__lag3h,0.0
Flotation Column 05 Level__mean__lag3h,0.0
Flotation Column 07 Level__mean__roll3h_mean,0.0
% Iron Feed__roll3h_mean,0.0
% Silica Feed__lag2h,0.0
% Iron Feed__lag2h,0.0
% Iron Feed__lag3h,0.0
Flotation Column 07 Level__mean__lag3h,0.0
Flotation Column 06 Level__mean__lag3h,0.0
% Silica Feed__lag3h,0.0
Flotation Column 07 Level__mean__lag2h,0.0
Flotation Column 06 Level__mean__lag2h,0.0
Amina Flow__mean__lag3h,0.0
Starch Flow__mean__lag3h,0.0
Flotation Column 02 Air Flow__mean__lag3h,0.0
Flotation Column 03 Level__mean__ewm12h,0.0
Flotation Column 04 Air Flow__mean__lag3h,0.0
Flotation Column 07 Air Flow__mean__lag3h,0.0
% Iron Feed__roll6h_mean,0.0
% Silica Feed__roll6h_mean,0.0
Ore Pulp pH__mean__ewm2h,0.0
Starch Flow__mean__ewm2h,0.0
Flotation Column 02 Air Flow__mean__ewm2h,0.0
Flotation Column 01 Air Flow__mean__roll6h_mean,0.0
Ore Pulp pH__mean__roll6h_mean,0.0
Flotation Column 03 Air Flow__mean__ewm2h,0.0
Flotation Column 07 Air Flow__mean__roll6h_mean,0.0
Flotation Column 05 Air Flow__mean__roll6h_mean,0.0
Flotation Column 06 Level__mean__roll6h_mean,0.0
Flotation Column 05 Level__mean__roll6h_mean,0.0
Flotation Column 04 Level__mean__roll6h_mean,0.0
Flotation Column 03 Level__mean__roll6h_mean,0.0
Flotation Column 02 Level__mean__roll6h_mean,0.0
Flotation Column 01 Level__mean__roll6h_mean,0.0
Flotation Column 05 Air Flow__mean__roll3h_mean,0.0
Flotation Column 06 Air Flow__mean__roll3h_mean,0.0
Flotation Column 04 Level__mean__roll3h_mean,0.0
Flotation Column 03 Level__mean__roll3h_mean,0.0
Flotation Column 05 Level__mean__roll3h_mean,0.0
Flotation Column 06 Level__mean__roll3h_mean,0.0
Flotation Column 03 Air Flow__mean__roll3h_mean,0.0
Ore Pulp Flow__mean__ewm12h,0.0
% Iron Feed__ewm6h,0.0
% Silica Feed__ewm6h,0.0
Amina Flow__mean__ewm12h,0.0
Flotation Column 03 Air Flow__mean__ewm12h,0.0
Flotation Column 07 Air Flow__mean__ewm12h,0.0
Flotation Column 07 Level__mean__roll6h_mean,0.0
Flotation Column 01 Level__mean__ewm12h,0.0
Flotation Column 02 Level__mean__ewm12h,0.0
Flotation Column 05 Level__mean__ewm6h,0.0
Flotation Column 07 Level__mean__ewm6h,0.0
Flotation Column 07 Air Flow__mean__ewm2h,0.0
Flotation Column 05 Air Flow__mean__ewm2h,0.0
Flotation Column 01 Level__mean__ewm2h,0.0
% Silica Feed__ewm2h,0.0
Flotation Column 06 Level__mean__ewm2h,0.0
Flotation Column 07 Level__mean__ewm2h,0.0
% Iron Feed__ewm2h,0.0
Flotation Column 05 Air Flow__mean__ewm12h,0.0
Flotation Column 06 Air Flow__mean__ewm12h,0.0
Flotation Column 01 Air Flow__mean__ewm12h,0.0
Flotation Column 01 Level__mean__ewm6h,0.0
Flotation Column 04 Level__mean__ewm6h,0.0
Flotation Column 02 Level__mean__ewm6h,0.0
Flotation Column 03 Level__mean__ewm6h,0.0
ratio_air_total_pulp,0.0
% Silica Concentrate__lagroll6h_std,0.0
Flotation Column 02 Air Flow__mean__ewm6h,0.0
Flotation Column 01 Air Flow__mean__ewm6h,0.0
Flotation Column 03 Air Flow__mean__ewm6h,0.0
Flotation Column 07 Air Flow__mean__ewm6h,0.0
Flotation Column 06 Air Flow__mean__ewm6h,0.0
Flotation Column 05 Air Flow__mean__ewm6h,0.0
% Silica Feed__slope3h,0.0
cross_air_flow_mean,0.0
cross_level_mean,0.0
cross_air_flow_max,0.0
cross_level_max,0.0
Ore Pulp pH__min,0.0
Ore Pulp pH__mean,0.0
Ore Pulp Flow__min,0.0
Flotation Column 03 Air Flow__mean__roll6h_mean,-3.3306690738754695e-17
Flotation Column 03 Level__mean__lag1h,-4.4408920985006264e-17
Flotation Column 07 Level__mean__slope3h,-7.771561172376095e-17
Starch Flow__mean__roll6h_mean,-1.9734823990535945e-07
Ore Pulp Density__mean__lag1h,-4.313004215439342e-07
Flotation Column 02 Level__mean__lag2h,-7.046019998457886e-07
Ore Pulp Flow__mean,-2.760446745098122e-06
Flotation Column 02 Level__mean__roll3h_mean,-3.280396926896856e-06
Starch Flow__mean__ewm12h,-3.4710629473355683e-06
Ore Pulp pH__mean__ewm12h,-4.631511539954225e-06
Flotation Column 05 Level__mean,-5.520893490218448e-06
Flotation Column 05 Level__mean__diff1h,-6.8660572028034215e-06
Flotation Column 06 Air Flow__std,-7.083982545541545e-06
ratio_starch_pulp,-9.560252264761982e-06
